Timestamp,Your name,Team (I),Games (I),Team (J),Games (J),Team (K),Games (K),Team (L),Games (L)
5/5/2024 11:31:20,Sophie,Boston Bruins,5,Carolina Hurricanes,6,Dallas Stars,4,Vancouver Canucks,5
5/5/2024 11:32:34,Theodore,Florida Panthers,5,New York Rangers,6,Dallas Stars,5,Vancouver Canucks,5
5/5/2024 11:32:56,Stephanie,Florida Panthers,6,Carolina Hurricanes,6,Dallas Stars,5,Edmonton Oilers,6
5/5/2024 11:34:33,Nathan,Florida Panthers,6,New York Rangers,6,Colorado Avalanche,5,Edmonton Oilers,7
5/5/2024 11:56:57,Marc,Florida Panthers,5,New York Rangers,6,Colorado Avalanche,7,Edmonton Oilers,5
5/5/2024 12:14:08,Derrick,Florida Panthers,6,New York Rangers,6,Colorado Avalanche,6,Edmonton Oilers,6
5/5/2024 12:19:03,Glenda,Florida Panthers,6,New York Rangers,6,Dallas Stars,6,Edmonton Oilers,6
5/5/2024 13:22:33,Ryan,Florida Panthers,5,Carolina Hurricanes,7,Colorado Avalanche,6,Edmonton Oilers,6
5/5/2024 13:39:17,Jaclyn,Florida Panthers,6,Carolina Hurricanes,5,Colorado Avalanche,6,Edmonton Oilers,6
5/5/2024 13:40:30,Jake,Boston Bruins,5,New York Rangers,5,Dallas Stars,5,Edmonton Oilers,5
5/5/2024 15:34:03,Robin,Florida Panthers,4,Carolina Hurricanes,4,Dallas Stars,5,Edmonton Oilers,7
5/5/2024 15:34:55,Kiersten,Florida Panthers,4,Carolina Hurricanes,5,Dallas Stars,5,Edmonton Oilers,7
5/5/2024 16:11:49,Jamie,Boston Bruins,5,Carolina Hurricanes,5,Dallas Stars,6,Edmonton Oilers,4
5/5/2024 16:12:30,Benedict,Boston Bruins,5,Carolina Hurricanes,5,Dallas Stars,6,Edmonton Oilers,5
5/5/2024 19:11:12,Nickall,Boston Bruins,7,Carolina Hurricanes,6,Dallas Stars,6,Vancouver Canucks,6
