Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games
5/2/2026 17:30:19,Marc,BUF (vs TBL),7,BUF (vs MTL),6,CAR,6,COL,6,VGK,6
5/2/2026 20:27:54,Jamie,BUF (vs TBL),6,MTL (vs BUF),7,CAR,6,MIN,5,VGK,5
5/2/2026 20:43:45,Nathan,BUF (vs TBL),7,BUF (vs MTL),7,CAR,5,COL,6,VGK,6
5/2/2026 20:52:01,Derrick,BUF (vs TBL),6,BUF (vs MTL),6,CAR,6,COL,6,ANA,6
5/2/2026 20:57:15,Jake,BUF (vs TBL),7,MTL (vs BUF),6,CAR,5,COL,6,VGK,7
5/2/2026 20:59:15,Benedict,BUF (vs TBL),6,MTL (vs BUF),5,PHI,4,COL,7,ANA,6
5/2/2026 21:05:02,Ryan,BUF (vs TBL),6,BUF (vs MTL),7,CAR,6,COL,6,ANA,7
5/2/2026 21:23:29,Glenda,TBL (vs BUF),6,MTL (vs BUF),6,PHI,6,COL,6,ANA,6
5/2/2026 21:27:34,Nickall,BUF (vs TBL),6,BUF (vs MTL),7,CAR,6,MIN,7,VGK,5
5/2/2026 21:42:04,Stephanie,BUF (vs TBL),6,MTL (vs BUF),5,CAR,6,MIN,6,ANA,6
